Topic,Words,Frequency,Timestamp
-1,"mterf3, ano5, dcr3, hrg, ufc1",65,2019.0
0,"mipd, minimally, opd, invasive, head",2,2019.0
1,"cemtirestat, baohuoside, aldose, immortalized, assay",2,2019.0
2,"microbiota, oral, microbiome, gi, kinds",2,2019.0
3,"nacrt, rpc, neoadjuvant, brpdac, sf",2,2019.0
6,"ilinc00114i, mir133b, ilinc01121i, hmga2as1, hmga2",4,2019.0
7,"mgmsup2sup, leucovorin, unknown, 5fluorouracil, simplified",1,2019.0
8,"necs, nens, nen, thanitp53i, nets",1,2019.0
9,"she, postrfa, pnet, diaphragm, peritoneal",1,2019.0
10,"crpopf, bmi, dp, stump, gastroduodenal",2,2019.0
11,"proteomic, mrmbased, bloodbased, assay, monitoringbased",1,2019.0
12,"transportal, needles, needle, eusfna, franseen",2,2019.0
15,"egfvegf, elements, gemcitabineinduced, signalling, carnival",1,2019.0
17,"ctdna, kras, krasmutated, monitoring, longitudinal",1,2019.0
19,"drfs, ca199, drf, radiomics, daily",1,2019.0
20,"mir769, mir27a3p, mir103, lamb3, mir557",5,2019.0
21,"methylation, epigenetic, dna, aberrant, methylmix",2,2019.0
27,"aip, steroid, autoimmune, corticosteroid, pancreatitis",2,2019.0
30,"10115520191024614, erratum, cftr, corrects, subtyping",1,2019.0
33,"vte, khorana, thromboprophylaxis, endometrial, venous",3,2019.0
34,"reoperation, unplanned, disadvantages, pea, pancreatectomy",2,2019.0
36,"lc3, beclin1, autophagy, lymphatic, autophagyrelated",2,2019.0
37,"hypoglycemia, insulinoma, insulinomas, pannets, nonfunctional",2,2019.0
39,"marigold, sfe, supercritical, bmp8b, coadjuvant",1,2019.0
42,"ibrcai, parp, plenary, inhibitors, repair",1,2019.0
44,"mealworms, mealworm, 2months, nutrition, nutritional",1,2019.0
52,"evs, cfse, ev, centrifugation, hsevs",1,2019.0
54,"cpt11, irinotecan, liposome, formulation, sn38",1,2019.0
57,"sbrt, stereotactic, folfirinox, lapc1, radiation",2,2019.0
63,"interface, ivi, 3year, folfirinox, chemoradiation",1,2019.0
64,"pyruvate, pkm12, knockdown, serine, catabolism",1,2019.0
65,"kts, metastasectomy, nonmetastasectomy, krukenberg, plastica",1,2019.0
67,"cca, ayas, cholangiocarcinoma, ecc, asxl1",3,2019.0
69,"tnts, celltocell, communication, exosomes, special",1,2019.0
74,"electroporation, ire, irreversible, conductivity, currents",1,2019.0
79,"circulating, overwhelming, phenotypes, celllike, disseminated",1,2019.0
80,"gbc, chinese, icdkn2abi, us, gallbladder",2,2019.0
81,"velocity, elastography, attenuation, formalin, amuse",1,2019.0
83,"st8176aa1, trastuzumab, adc, erbb2, st7612aa1",1,2019.0
90,"omd, oligometastatic, mog, 5798, sog",1,2019.0
98,"sunitinib, mtor, nets, everolimus, pantyrosine",1,2019.0
99,"degs, genes, cytohubba, ppi, hub",1,2019.0
103,"dha, fibrotic, cp, mediators, nfb",1,2019.0
105,"culture, bile, ssi, infectious, organspace",1,2019.0
107,"pac, mirnas, cellfree, easytoacquire, postdiagnostic",1,2019.0
113,"gastrectomy, orifice, specimen, totally, transrectal",1,2019.0
118,"margin, r1, resection, head, r0",1,2019.0
120,"tgfr2, cd105, smad4, tgf, smad4transforming",1,2019.0
129,"mcn, cystic, peru, s8, mucinous",2,2019.0
135,"acinarneuroendocrine, manec, mixed, edge, cancerpoorlydifferentiated",2,2019.0
139,"maffucci, chondrosarcoma, fusocellular, anaplastic, sarcoma",2,2019.0
142,"mir506, rock2, mir2233p, fat1, hep3b",2,2019.0
157,"circpcnx, pecanex, circular, hcc, mir506",1,2019.0
161,"men1, incidentaloma, adrenal, parathyroid, endocrine",1,2019.0
164,"ipmn, intraductal, papillary, pancreatoscopy, mucinous",3,2019.0
169,"senescent, senescence, fibroblasts, repairs, bioengineering",1,2019.0
179,"ucogc, giant, osteoclastlike, cephalic, undifferentiated",1,2019.0
185,"tmeff2, sitmeff2, sb203580, od450, aspc1",1,2019.0
189,"rectal, cytokeratin, breast, adenocarcinomarb, n2m0p0h0",2,2019.0
194,"pneumonectomy, lung, metasta, bronchoscope, cea",1,2019.0
195,"bile, duct, pbm, lumenized, carcinoid",1,2019.0
200,"telomerase, welltimed, activity, mass, requires",1,2019.0
207,"asph, pdx, asphsrc, invadopodia, hydroxylase",1,2019.0
216,"pmrt, bcss, nopmrt, implantrelated, implantassociated",2,2019.0
217,"amrand, irinotecancpt11, cisplatincddpplus, amrubicin, hilar",1,2019.0
223,"dge, emptying, costs, los, delayed",1,2019.0
229,"bbm, gefi, stat3, berbamine, gefitinib",1,2019.0
232,"preoperatory, 3d, allowed, threedimensional, online",1,2019.0
237,"lnr, lnm, node, lymph, clinicpathologic",1,2019.0
248,"perforation, ectopic, submucosal, cm, mucosal",1,2019.0
249,"statin, cirrhosis, isup2sup50, aspirin, users",1,2019.0
256,"rfa, threemonth, radiofrequency, 83, ablation",1,2019.0
262,"opn, opnvolume, icc, immp10i, immp1i",1,2019.0
303,"turbt, he, urothelial, bladder, pt1",1,2019.0
310,"complete, folfirinox, hepatic, metastasized, pseudocyst",4,2019.0
328,"aid, rnai, evolve, better, prospects",1,2019.0
330,"cancern2, extracolonic, colonic, noncrc, stenosis",1,2019.0
353,"betd260, bet, protac, antihcc, chimera",1,2019.0
354,"itpn, tubulopapillary, intraductal, misdiagnosed, rarity",1,2019.0
355,"toxicosis, al, aluminium, toxic, metals",1,2019.0
361,"siblings, familial, kashimoto, articleb, onji",1,2019.0
382,"courses, gastric, sox, lymph, nivolumab",2,2019.0
390,"ha, halo, 301, pehph20, desmoplasia",1,2019.0
401,"umbilical, mary, josephs, sister, tomographyct",1,2019.0
437,"leiomyosarcoma, diagnosisa, cystlike, masslike, 43yearold",1,2019.0
442,"tsgct, tenosynovial, giant, gctb, tsgcts",1,2019.0
465,"mrcp, ipmn, mri, ipmns, malignant",1,2019.0
473,"tnf, polymorphisms, concentration, 308aa, cancercolorectal",1,2019.0
535,"ftx, gc, lncrna, mir144, mir144zfx",1,2019.0
-1,"expression, cells, that, of, in",2522,2020.0
0,"robotic, lpd, rpd, opd, open",49,2020.0
1,"extract, compounds, panc1, extracts, anticancer",68,2020.0
2,"microbiota, microbiome, gut, oral, bacteria",35,2020.0
3,"neoadjuvant, adjuvant, resectable, chemoradiation, chemotherapy",57,2020.0
4,"segmentation, images, deep, cnn, ai",27,2020.0
5,"nanoparticles, delivery, drug, gem, liposomes",57,2020.0
6,"lncrna, noncoding, lncrnas, long, linc00261",93,2020.0
7,"nabpaclitaxel, gemcitabine, folfirinox, plus, firstline",62,2020.0
8,"neuroendocrine, gastroenteropancreatic, gepnens, nen, nens",40,2020.0
9,"pnets, neuroendocrine, g3, pnet, pannens",65,2020.0
10,"popf, fistula, crpopf, drain, postoperative",47,2020.0
11,"biomarkers, proteins, proteomic, biomarker, serum",42,2020.0
12,"needle, eusfna, fnb, needles, eusfnb",40,2020.0
13,"cafs, caf, fibroblasts, cancerassociated, stroma",40,2020.0
14,"histone, epigenetic, chromatin, brd4, ezh2",39,2020.0
15,"gemcitabine, gem, resistance, emodin, llgl1",28,2020.0
16,"incidence, burden, mortality, trends, projected",21,2020.0
17,"ctdna, cfdna, dna, circulating, cellfree",36,2020.0
18,"compounds, derivatives, synthesized, antiproliferative, against",24,2020.0
19,"radiomics, features, radiomic, texture, radscore",25,2020.0
20,"mirnas, mir92a3p, overexpression, migration, proliferation",64,2020.0
21,"methylation, dna, methylated, cpg, promoter",30,2020.0
22,"ca199, 199, ca, cea, carbohydrate",29,2020.0
23,"black, disparities, white, socioeconomic, nses",13,2020.0
24,"spn, pseudopapillary, solid, spns, pancreas",25,2020.0
25,"pdt, photodynamic, photothermal, ptt, photosensitizer",30,2020.0
26,"oncolytic, virus, adenovirus, ovs, viruses",22,2020.0
27,"aip, autoimmune, igg4related, igg4, pancreatitis",23,2020.0
28,"plans, motion, tracking, dose, plan",15,2020.0
29,"ferroptosis, iron, peroxidation, erastin, mi463",15,2020.0
30,"organoids, organoid, pdos, patientderived, culture",19,2020.0
31,"sarcopenia, muscle, skeletal, composition, mass",13,2020.0
32,"car, cart, chimeric, antigen, cart19",18,2020.0
33,"vte, thromboembolism, venous, thromboprophylaxis, thrombosis",28,2020.0
34,"hospitals, readmission, hospital, dccs, volume",18,2020.0
35,"circrnas, circular, circrna, rnas, circddx42",24,2020.0
36,"autophagy, mhci, dp44mt, ampk, autophagic",17,2020.0
